date,ticker,shares,price
2026-04-10,GLDM,331550000,
2026-04-13,GLDM,331550000,
2026-04-14,GLDM,332450000,
2026-04-15,GLDM,333550000,
2026-04-16,GLDM,333550000,
2026-03-28,GSG,31700000,
2026-03-30,GSG,31700000,32.58000183105469
2026-03-31,GSG,31850000,32.224998474121094
2026-04-01,GSG,32050000,
2026-04-02,GSG,30950000,
2026-04-03,GSG,31950000,
2026-04-06,GSG,31950000,
2026-04-07,GSG,32700000,
2026-04-08,GSG,32700000,
2026-04-09,GSG,32700000,
2026-04-10,GSG,31500000,
2026-04-13,GSG,31100000,
2026-04-14,GSG,30800000,
2026-04-15,GSG,30200000,
2026-04-16,GSG,30400000,
2026-03-28,HYG,207500000,
2026-03-30,HYG,207500000,78.80999755859375
2026-03-31,HYG,201400000,79.48999786376953
2026-04-01,HYG,206400000,
2026-04-02,HYG,206200000,
2026-04-03,HYG,208700000,
2026-04-06,HYG,208700000,
2026-04-07,HYG,209600000,
2026-04-08,HYG,210100000,
2026-04-09,HYG,204000000,
2026-04-10,HYG,209700000,
2026-04-13,HYG,212800000,
2026-04-14,HYG,210700000,
2026-04-15,HYG,210400000,
2026-04-16,HYG,213000000,
2026-03-30,IAU,810700000,84.93000030517578
2026-03-31,IAU,810700000,87.80000305175781
2026-04-01,IAU,810700000,
2026-04-02,IAU,810700000,
2026-04-03,IAU,810700000,
2026-04-06,IAU,810700000,
2026-04-07,IAU,818150000,
2026-04-08,IAU,818150000,
2026-04-09,IAU,818950000,
2026-04-10,IAU,822550000,
2026-04-13,IAU,823200000,
2026-04-14,IAU,823200000,
2026-04-15,IAU,823200000,
2026-04-16,IAU,823200000,
2026-03-28,IBB,48250000,
2026-03-30,IBB,48250000,161.86000061035156
2026-03-31,IBB,48250000,168.05999755859375
2026-04-01,IBB,48100000,
2026-04-02,IBB,48200000,
2026-04-03,IBB,48350000,
2026-04-06,IBB,48350000,
2026-04-07,IBB,48200000,
2026-04-08,IBB,48050000,
2026-04-09,IBB,48200000,
2026-04-10,IBB,48700000,
2026-04-13,IBB,48450000,
2026-04-14,IBB,48350000,
2026-04-15,IBB,48300000,
2026-04-16,IBB,48250000,
2026-03-28,IBIT,1385120000,
2026-03-30,IBIT,1385120000,37.68000030517578
2026-03-31,IBIT,1379720000,38.369998931884766
2026-04-01,IBIT,1379920000,
2026-04-02,IBIT,1382480000,
2026-04-03,IBIT,1380240000,
2026-04-06,IBIT,1380240000,
2026-04-07,IBIT,1380160000,
2026-04-08,IBIT,1384760000,
2026-04-09,IBIT,1384320000,
2026-04-10,IBIT,1385320000,
2026-04-13,IBIT,1391920000,
2026-04-14,IBIT,1395240000,
2026-04-15,IBIT,1396080000,
2026-04-16,IBIT,1401160000,
2026-03-28,ICLN,118500000,
2026-03-30,ICLN,118500000,17.510000228881836
2026-03-31,ICLN,118500000,18.09499931335449
2026-04-01,ICLN,118500000,
2026-04-02,ICLN,118500000,
2026-04-03,ICLN,119000000,
2026-04-06,ICLN,119000000,
2026-04-07,ICLN,119000000,
2026-04-08,ICLN,119000000,
2026-04-09,ICLN,119000000,
2026-04-10,ICLN,119000000,
2026-04-13,ICLN,119000000,
2026-04-14,ICLN,119000000,
2026-04-15,ICLN,119200000,
2026-04-16,ICLN,119900000,
2026-03-28,IEF,508000000,
2026-03-30,IEF,508000000,95.2699966430664
2026-03-31,IEF,510300000,95.5
2026-04-01,IEF,512800000,
2026-04-02,IEF,510500000,
2026-04-03,IEF,514200000,
2026-04-06,IEF,514200000,
2026-04-07,IEF,519500000,
2026-04-08,IEF,519500000,
2026-04-09,IEF,519300000,
2026-04-10,IEF,518000000,
2026-04-13,IEF,511000000,
2026-04-14,IEF,509700000,
2026-04-15,IEF,509700000,
2026-04-16,IEF,509100000,
2026-03-28,IEMG,1879800000,
2026-03-30,IEMG,1879800000,67.31999969482422
2026-03-31,IEMG,1879800000,69.05500030517578
2026-04-01,IEMG,1879800000,
2026-04-02,IEMG,1879800000,
2026-04-03,IEMG,1879800000,
2026-04-06,IEMG,1879800000,
2026-04-07,IEMG,1879800000,
2026-04-08,IEMG,1879800000,
2026-04-09,IEMG,1883800000,
2026-04-10,IEMG,1883800000,
2026-04-13,IEMG,1883800000,
2026-04-14,IEMG,1883800000,
2026-04-15,IEMG,1883800000,
2026-04-16,IEMG,1883800000,
2026-03-28,INDA,13450000,
2026-03-30,INDA,13450000,45.41999816894531
2026-03-31,INDA,13450000,46.41999816894531
2026-04-01,INDA,13450000,
2026-04-02,INDA,13450000,
2026-04-03,INDA,13450000,
2026-04-06,INDA,13450000,
2026-04-07,INDA,13450000,
2026-04-08,INDA,13450000,
2026-04-09,INDA,13450000,
2026-04-10,INDA,13450000,
2026-04-13,INDA,13450000,
2026-04-14,INDA,13450000,
2026-04-15,INDA,13450000,
2026-04-16,INDA,13450000,
2026-03-28,IVV,1101750000,
2026-03-30,IVV,1101750000,634.9299926757812
2026-03-31,IVV,1101700000,650.2999877929688
2026-04-01,IVV,1102850000,
2026-04-02,IVV,1102250000,
2026-04-03,IVV,1102400000,
2026-04-06,IVV,1102400000,
2026-04-07,IVV,1096250000,
2026-04-08,IVV,1095400000,
2026-04-09,IVV,1095550000,
2026-04-10,IVV,1095650000,
2026-04-13,IVV,1094850000,
2026-04-14,IVV,1094550000,
2026-04-15,IVV,1096250000,
2026-04-16,IVV,1097650000,
2026-03-28,IWM,283800000,
2026-03-30,IWM,283800000,239.6100006103516
2026-03-31,IWM,282800000,246.6000061035156
2026-04-01,IWM,290100000,
2026-04-02,IWM,287750000,
2026-04-03,IWM,286100000,
2026-04-06,IWM,286100000,
2026-04-07,IWM,281750000,
2026-04-08,IWM,279700000,
2026-04-09,IWM,279750000,
2026-04-10,IWM,279850000,
2026-04-13,IWM,280200000,
2026-04-14,IWM,280350000,
2026-04-15,IWM,280700000,
2026-04-16,IWM,279900000,
2026-03-30,JAAA,531450000,50.5099983215332
2026-03-31,JAAA,531450000,50.345001220703125
2026-04-01,JAAA,531450000,
2026-04-02,JAAA,531450000,
2026-04-03,JAAA,531450000,
2026-04-06,JAAA,531450000,
2026-04-07,JAAA,529250000,
2026-04-08,JAAA,529250000,
